Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Total_Duration,Total_Pages,Avg_Time_Per_Page,Admin_Info_Ratio,Admin_Product_Ratio,Info_Product_Ratio,Admin_Duration_Per_Page,Info_Duration_Per_Page,Product_Duration_Per_Page,Bounce_Exit_Diff,Month_Num,Season,Holiday_Season,Is_Returning_Visitor,Is_New_Visitor,Is_Other_Visitor,PageValues_BounceRates,PageValues_ExitRates,Weekend_SpecialDay,ProductRelated_Weekend,Administrative_Duration_Log,Informational_Duration_Log,ProductRelated_Duration_Log,PageValues_Log,PageValues_Binned,ProductRelated_Binned
3,14.0,0,0.0,154,4712.769322,0.001282051,0.014267214,3.890350183,0.0,May,2,5,6,3,Returning_Visitor,0,4726.769322,157,30.106810968152868,3.0,0.01935483870967742,0.0,3.5,0.0,30.404963367741935,-0.012985163000000001,5,Spring,0,1,0,0,0.004987627342465333,0.05550445859580016,0.0,0,2.70805020110221,0.0,8.45824314763603,1.5872639129881987,Low,Very High
1,54.9,0,0.0,4,111.1333333,0.0,0.0,0.0,0.0,Aug,3,2,3,1,Returning_Visitor,0,166.0333333,5,33.20666666,1.0,0.2,0.0,27.45,0.0,22.22666666,0.0,8,Summer,0,1,0,0,0.0,0.0,0.0,0,4.023564380161053,0.0,4.719688639133418,0.0,,Very Low
0,0.0,0,0.0,29,3312.5,0.013793103,0.028965517,0.0,0.0,Mar,2,2,1,13,Returning_Visitor,0,3312.5,29,114.22413793103448,0.0,0.0,0.0,0.0,0.0,110.41666666666667,-0.015172414,3,Spring,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,8.105760311528282,0.0,,Medium
0,0.0,0,0.0,16,566.4866667,0.0,0.039365079,18.30205576,0.0,Sep,3,2,2,1,Returning_Visitor,0,566.4866667,16,35.40541666875,0.0,0.0,0.0,0.0,0.0,33.3227451,-0.039365079,9,Fall,0,1,0,0,0.0,0.720461870854805,0.0,0,0.0,0.0,6.3412172542777885,2.9602116063005828,Medium,Low
10,515.6133333,3,85.14,50,1558.62,0.003636364,0.011878788,12.12586885,0.0,Aug,3,2,4,4,Returning_Visitor,1,2159.3733333,63,34.275767195238096,2.5,0.19607843137254902,0.058823529411764705,46.873939390909094,21.285,30.561176470588233,-0.008242424,8,Summer,0,1,0,0,0.044094072954861396,0.1440406253849538,0.0,50,6.247294690046058,4.455973879625964,7.352197480827193,2.5745850043819285,Medium,Medium
0,0.0,0,0.0,7,243.0,0.057142857,0.085714286,0.0,0.0,May,2,2,6,4,Returning_Visitor,0,243.0,7,34.714285714285715,0.0,0.0,0.0,0.0,0.0,30.375,-0.028571429000000002,5,Spring,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,5.497168225293202,0.0,,Low
2,334.5,2,29.0,17,939.0833333,0.0,0.0225,18.22304387,0.0,Dec,2,2,1,6,Returning_Visitor,0,1302.5833333,21,62.027777776190476,0.6666666666666666,0.1111111111111111,0.1111111111111111,111.5,9.666666666666666,52.171296294444446,-0.0225,12,Winter,1,1,0,0,0.0,0.410018487075,0.0,0,5.815621956411737,3.4011973816621555,6.845968523781462,2.956109760930113,Medium,Low
0,0.0,4,8.0,66,1514.83631,0.022887324,0.044913928,0.0,0.0,Dec,2,2,6,2,Returning_Visitor,0,1522.83631,70,21.75480442857143,0.0,0.0,0.05970149253731343,0.0,1.6,22.609497164179103,-0.022026603999999998,12,Winter,1,1,0,0,0.0,0.0,0.0,0,0.0,2.1972245773362196,7.323722585438567,0.0,,High
2,80.0,6,141.75,47,3573.472222,0.003773585,0.012006861,34.85660705,0.0,Dec,2,2,3,1,Returning_Visitor,0,3795.222222,55,69.0040404,0.2857142857142857,0.041666666666666664,0.125,26.666666666666668,20.25,74.44733795833334,-0.008233276000000001,12,Winter,1,1,0,0,0.13153436951477424,0.4185184357809701,0.0,0,4.394449154672439,4.96109484853612,8.181572814019905,3.57952784713614,Medium,Medium
1,17.0,0,0.0,17,1340.583333,0.047058824,0.071568627,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,0,1357.583333,18,75.42129627777778,1.0,0.05555555555555555,0.0,8.5,0.0,74.47685183333334,-0.024509802999999997,11,Fall,1,1,0,0,0.0,0.0,0.0,0,2.8903717578961645,0.0,7.201605787205831,0.0,,Low
0,0.0,0,0.0,5,99.66666667,0.0,0.04,0.0,0.6,May,2,2,5,4,Returning_Visitor,0,99.66666667,5,19.933333334,0.0,0.0,0.0,0.0,0.0,16.611111111666666,-0.04,5,Spring,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,4.611814728739873,0.0,,Very Low
3,42.2,0,0.0,18,721.8,0.01,0.02,0.0,0.0,Oct,3,2,1,1,Returning_Visitor,0,764.0,21,36.38095238095238,3.0,0.15789473684210525,0.0,10.55,0.0,37.98947368421052,-0.01,10,Fall,0,1,0,0,0.0,0.0,0.0,0,3.765840495250065,0.0,6.583132558718074,0.0,,Low
0,0.0,0,0.0,7,297.0,0.028571429,0.071428571,0.0,0.8,May,1,1,1,1,Returning_Visitor,0,297.0,7,42.42857142857143,0.0,0.0,0.0,0.0,0.0,37.125,-0.042857142,5,Spring,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,5.697093486505405,0.0,,Low
0,0.0,0,0.0,3,146.4,0.0,0.016666667,0.0,0.0,Aug,3,2,1,3,Returning_Visitor,0,146.4,3,48.800000000000004,0.0,0.0,0.0,0.0,0.0,36.6,-0.016666667,8,Summer,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,4.993149979755236,0.0,,Very Low
0,0.0,0,0.0,3,20.0,0.1,0.166666667,0.0,0.0,Nov,3,2,3,13,Returning_Visitor,0,20.0,3,6.666666666666667,0.0,0.0,0.0,0.0,0.0,5.0,-0.06666666699999999,11,Fall,1,1,0,0,0.0,0.0,0.0,0,0.0,0.0,3.044522437723423,0.0,,Very Low
3,273.66,0,0.0,24,751.6266667,0.004571429,0.024838095,14.85337253,0.0,Jul,3,2,2,1,Returning_Visitor,1,1025.2866667,27,37.97358024814815,3.0,0.12,0.0,68.415,0.0,30.065066668,-0.020266666000000003,7,Summer,0,1,0,0,0.06790113793144537,0.3689294779705304,0.0,24,5.6155339691021355,0.0,6.623569310298021,2.7633822556072603,Medium,Medium
2,26.66666667,0,0.0,79,2619.109709,0.016315049,0.020747988,0.0,0.0,Nov,1,1,3,10,Returning_Visitor,1,2645.7763756699997,81,32.66390587246913,2.0,0.025,0.0,8.88888889,0.0,32.7388713625,-0.004432938999999997,11,Fall,1,1,0,0,0.0,0.0,0.0,79,3.32022831924897,0.0,7.870971469542587,0.0,,High
4,83.6,0,0.0,42,3333.076068,0.011627907,0.027506986,0.0,0.0,Aug,1,2,1,2,Returning_Visitor,0,3416.6760679999998,46,74.27556669565217,4.0,0.09302325581395349,0.0,16.72,0.0,77.51339693023256,-0.015879079,8,Summer,0,1,0,0,0.0,0.0,0.0,0,4.437934266612178,0.0,8.111950878887294,0.0,,Medium
0,0.0,0,0.0,2,138.5,0.0,0.1,0.0,0.0,Nov,3,2,4,11,Returning_Visitor,1,138.5,2,69.25,0.0,0.0,0.0,0.0,0.0,46.166666666666664,-0.1,11,Fall,1,1,0,0,0.0,0.0,0.0,2,0.0,0.0,4.93806460126142,0.0,,Very Low
